geneID,geneName,category,peak,figure,chr,start,end,strand,desc,ortholog
CAGL0J09790g,NA,iron homeostasis,2,fig1.sup3,ChrJ_C_glabrata_CBS138,1005446,1004544,C,"Ortholog(s) have guanine nucleotide transmembrane transporter activity and role in cellular iron ion homeostasis, guanine nucleotide transport, mitochondrial genome maintenance, transmembrane transport",GGC1
CAGL0M02629g,NA,iron homeostasis,2,fig1.sup3,ChrM_C_glabrata_CBS138,312814,313455,W,"Ortholog(s) have 2 iron, 2 sulfur cluster binding, ATPase activator activity, ferrous iron binding, iron ion binding, iron-sulfur cluster binding, iron-sulfur cluster carrier activity, zinc ion binding activity",ISU1
CAGL0K08250g,NA,iron homeostasis,2,fig1.sup3,ChrK_C_glabrata_CBS138,823633,822740,C,"Ortholog(s) have iron ion transmembrane transporter activity, role in iron import into the mitochondrion and mitochondrial inner membrane localization",MRS4
CAGL0L05742g,NA,iron homeostasis,4,fig1.sup3,ChrL_C_glabrata_CBS138,641441,640524,C,"Ortholog(s) have iron ion transmembrane transporter activity, role in iron import into the mitochondrion and mitochondrion localization",MRS3
CAGL0J07980g,NA,iron homeostasis,6,fig1.sup3,ChrJ_C_glabrata_CBS138,826720,826944,W,"Ortholog(s) have copper chaperone activity and role in cellular copper ion homeostasis, cellular iron ion homeostasis, cellular response to oxidative stress, copper ion transport, regulation of iron ion transmembrane transport",ATX1
CAGL0A03476g,SMF3,iron homeostasis,4,fig1.sup3,ChrA_C_glabrata_CBS138,371683,370268,C,"Ortholog(s) have role in cellular iron ion homeostasis, iron ion transport and fungal-type vacuole membrane localization",SMF3
CAGL0H03487g,AFT1,iron homeostasis,6,fig1.sup3,ChrH_C_glabrata_CBS138,326992,328599,W,"Putative RNA polymerase II transcription factor, involved in regulation of iron acquisition genes; required for growth under iron depletion",AFT1
CAGL0E01243g,CTH2,iron homeostasis,8,fig1.sup3,ChrE_C_glabrata_CBS138,125961,127322,W,Protein involved in cellular iron homeostasis; induced by Aft1p to reduce expression of iron-associated genes under iron starvation,CTH1
CAGL0A03905g,HMX1,iron homeostasis,8,fig1.sup3,ChrA_C_glabrata_CBS138,410805,409867,C,"Ortholog(s) have heme oxygenase (decyclizing) activity, role in cellular iron ion homeostasis, heme catabolic process, response to oxidative stress and endoplasmic reticulum, membrane, nuclear outer membrane localization",HMX1
CAGL0F06413g,FET3,iron homeostasis,8,fig1.sup3,ChrF_C_glabrata_CBS138,657358,659265,W,Putative copper ferroxidase involved in iron uptake,FET3
CAGL0C00693g,CCC1,iron homeostasis,8,fig1.sup3,ChrC_C_glabrata_CBS138,80112,81059,W,Putative vacuolar iron transporter,CCC1
